"DateTime","Additions","Deletions"
"2025-03-23",8437,-5463
"2025-03-30",0,0
"2025-04-06",0,0
"2025-04-13",0,0
"2025-04-20",0,0
"2025-04-27",0,0
"2025-05-04",0,0
"2025-05-11",0,0
"2025-05-18",0,0
"2025-05-25",0,0
"2025-06-01",0,0
"2025-06-08",0,0
"2025-06-15",0,0
"2025-06-22",0,0
"2025-06-29",0,0
"2025-07-06",0,0
"2025-07-13",0,0
"2025-07-20",0,0
"2025-07-27",0,0
"2025-08-03",0,0
"2025-08-10",0,0
"2025-08-17",13675,-68
"2025-08-24",34652,-875
"2025-08-31",233050,-44381
"2025-09-07",1379822,-918332